QueId	Question	ListId	List
0	Район	0	-
1	Название организации	0	-
2	Расположение организации	0	-
3	Тип организации	0	-
4	Уровень организации	0	-
5	Id сотрудника	0	-
6	ФИО сотрудника	0	-
7	Должность	0	-
8	Вес должности	201	201:Руководитель;202:Администратор;203:Сотрудник
9	А1: Пол	3	14:Мужчина;15:Женщина
14	А2: Год рождения	0	-
15	А3: Какое у Вас образование?  [1]	4	16:Среднее специальное (педагогическое);17:Среднее специальное (не педагогическое);18:Высшее педагогическое (специалист);19:Высшее педагогическое (магистр);20:Высшее педагогическое (бакалавр);21:Иное высшее;22:Послевузовское (аспирантура, докторантура)
15	А3: Какое у Вас образование?  [2]	4	16:Среднее специальное (педагогическое);17:Среднее специальное (не педагогическое);18:Высшее педагогическое (специалист);19:Высшее педагогическое (магистр);20:Высшее педагогическое (бакалавр);21:Иное высшее;22:Послевузовское (аспирантура, докторантура)
15	А3: Какое у Вас образование?  [3]	4	16:Среднее специальное (педагогическое);17:Среднее специальное (не педагогическое);18:Высшее педагогическое (специалист);19:Высшее педагогическое (магистр);20:Высшее педагогическое (бакалавр);21:Иное высшее;22:Послевузовское (аспирантура, докторантура)
15	А3: Какое у Вас образование?  [4]	4	16:Среднее специальное (педагогическое);17:Среднее специальное (не педагогическое);18:Высшее педагогическое (специалист);19:Высшее педагогическое (магистр);20:Высшее педагогическое (бакалавр);21:Иное высшее;22:Послевузовское (аспирантура, докторантура)
16	А4: Ваш общий стаж работы в системе образования 	0	-
17	А5: Ваш общий стаж работы в данной образовательной организации	0	-
18	А6: Ваш стаж работы в текущей управленческой должности в данной образовательной организации	0	-
19	А7: Ваша квалификационная категория (по должности преподаватель, учитель, воспитатель)?	13	55:Не проходил аттестацию ;56:Аттестован на соответствие занимаемой должности;57:Аттестован на 2 категорию;58:Аттестован на 1 категорию;59:Аттестован на высшую категорию;60:Другое
20	К1: Ведете ли Вы преподавательскую деятельность в данной образовательной организации?	14	61:Да;62:Нет
21	К2: Являетесь ли Вы заведующим кафедрой (методобъединением, отделением)?	14	61:Да;62:Нет
22	К3: Являетесь ли Вы классным руководителем (воспитателем)?	14	61:Да;62:Нет
23	К4: Являетесь ли Вы членом какой-либо постоянной группы, команды, занимающейся вопросами преподавания и воспитания, планирования?	14	61:Да;62:Нет
26	Б1: Какой основной предмет (дисциплину) Вы преподаете? Укажите предметную область. [1]	15	63:Филология;64:Математика;65:Естествознание;66:Обществознание;67:Физическая культура;68:Искусство;69:Технология;81:Дошкольное образование;70:Начальные классы;71:Иностранные языки;72:Психология;73:Логопедия;74:Дисциплины профессионального цикла;75:Производственная практика;76:Другое
26	Б1: Какой основной предмет (дисциплину) Вы преподаете? Укажите предметную область. [2]	15	63:Филология;64:Математика;65:Естествознание;66:Обществознание;67:Физическая культура;68:Искусство;69:Технология;81:Дошкольное образование;70:Начальные классы;71:Иностранные языки;72:Психология;73:Логопедия;74:Дисциплины профессионального цикла;75:Производственная практика;76:Другое
26	Б1: Какой основной предмет (дисциплину) Вы преподаете? Укажите предметную область. [3]	15	63:Филология;64:Математика;65:Естествознание;66:Обществознание;67:Физическая культура;68:Искусство;69:Технология;81:Дошкольное образование;70:Начальные классы;71:Иностранные языки;72:Психология;73:Логопедия;74:Дисциплины профессионального цикла;75:Производственная практика;76:Другое
26	Б1: Какой основной предмет (дисциплину) Вы преподаете? Укажите предметную область. [4]	15	63:Филология;64:Математика;65:Естествознание;66:Обществознание;67:Физическая культура;68:Искусство;69:Технология;81:Дошкольное образование;70:Начальные классы;71:Иностранные языки;72:Психология;73:Логопедия;74:Дисциплины профессионального цикла;75:Производственная практика;76:Другое
26	Б1: Какой основной предмет (дисциплину) Вы преподаете? Укажите предметную область. [5]	15	63:Филология;64:Математика;65:Естествознание;66:Обществознание;67:Физическая культура;68:Искусство;69:Технология;81:Дошкольное образование;70:Начальные классы;71:Иностранные языки;72:Психология;73:Логопедия;74:Дисциплины профессионального цикла;75:Производственная практика;76:Другое
27	Б2: На какой ступени образования Вы преподаете? [1]	16	77:Дошкольное образование;78:Начальная школа;79:Средняя школа;80:Старшая школа;82:Среднее профессиональное образование
27	Б2: На какой ступени образования Вы преподаете? [2]	16	77:Дошкольное образование;78:Начальная школа;79:Средняя школа;80:Старшая школа;82:Среднее профессиональное образование
27	Б2: На какой ступени образования Вы преподаете? [3]	16	77:Дошкольное образование;78:Начальная школа;79:Средняя школа;80:Старшая школа;82:Среднее профессиональное образование
27	Б2: На какой ступени образования Вы преподаете? [4]	16	77:Дошкольное образование;78:Начальная школа;79:Средняя школа;80:Старшая школа;82:Среднее профессиональное образование
28	Б3: Как часто за последний учебный год Вы посещали открытые уроки (занятия, мероприятия) педагогов (преподавателей)  Вашей образовательной организации?	17	83:Раз в неделю;84:Раз в месяц;85:Раз в полугодие;86:Ещё реже
29	Б4: Как часто за последний учебный год Вы давали открытые уроки (занятия, мероприятия)?	17	83:Раз в неделю;84:Раз в месяц;85:Раз в полугодие;86:Ещё реже
30	Б5: Как часто за последний учебный год  Вы проводили с другими педагогами  (преподавателями, воспитателями) интегрированные занятия или иные совместные мероприятия.	17	83:Раз в неделю;84:Раз в месяц;85:Раз в полугодие;86:Ещё реже
31	Б6: Нуждаются ли Ваши заместители (руководители структурных подразделений, старшие воспитатели)  в постоянном контроле и помощи с Вашей стороны?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
32	Б7: Хотели бы Вы изменить состав Вашей административной команды в ближайшие два года?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
33	Б8: Как часто за последний учебный год Вы посещали занятия (мероприятия), которые в Вашем классе (группе) проводили другие педагоги (преподаватели, воспитатели)? 	17	83:Раз в неделю;84:Раз в месяц;85:Раз в полугодие;86:Ещё реже
34	Б9: Нуждаются ли заведующие кафедрами  (руководители методобъединений, отделений) в постоянном контроле и помощи с Вашей стороны?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
35	Б10: С Вашей точки зрения, большинству коллег в Вашей образовательной организации можно доверять (доверие - уверенность в том, что, если Вы сказали коллеге о своих проблемах или ошибках, то эта информация не будет использована Вам во вред)?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
36	Б11: Если у педагогов (преподавателей, воспитателей) возникла конфликтная ситуация (например, по разделению обязанностей), какие пути ее урегулирования они должны использовать прежде всего?	19	91:Обратиться к руководству;92:Решить конфликтный вопрос самостоятельно, договорившись между собой;93:Обсудить ситуацию с другими коллегами;94:Другое
37	Б12: Если у Вас возникла конфликтная ситуация с коллегой (например, по разделению обязанностей), как Вы ее решаете чаще всего?	20	95:Обращаетесь к руководству;96:Договариваетесь с коллегой;97:Обсуждаете с другими коллегами;98:Другое
38	Б13: Есть ли у Вас профессиональные задачи, решение которых требует знакомства с опытом работы других педагогов (преподавателей, воспитателей) Вашей образовательной организации?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
39	Б14: Считаете ли Вы полезным и правильным посещение педагогами (преподавателями, воспитателями)  занятий и мероприятий (не открытых, т.е. специально не подготовленных), проводимых другими?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
40	Б15: Как часто Вы лично за последний учебный год по своей инициативе обращались (обсуждали, советовались) по вопросам преподавания и воспитания конкретных обучающихся (воспитанников) или классов (групп) к директору (заведующему)? 	21	99:Несколько раз в неделю;100:Раз в неделю;101:Раз в месяц;102:Еще реже
41	Б16: Как часто Вы лично за последний учебный год по своей инициативе обращались (обсуждали, советовались) по вопросам преподавания и воспитания конкретных обучающихся (воспитанников) или классов (групп) к зам. директора (заведующего)? 	21	99:Несколько раз в неделю;100:Раз в неделю;101:Раз в месяц;102:Еще реже
42	Б17: Как часто Вы лично за последний учебный год по своей инициативе обращались (советовались, обсуждали) по вопросам преподавания и воспитания конкретных обучающихся (воспитанников) или классов (групп)  к заведующим кафедрами  (методобъединений, отделени	21	99:Несколько раз в неделю;100:Раз в неделю;101:Раз в месяц;102:Еще реже
43	Б18: Согласны ли Вы с тем, что руководство образовательной организации защищает Ваши интересы и заботится о Вас?	22	103:Полностью согласны;104:Скорее согласны;105:Скорее не согласны;106:Совершенно не согласны
44	Б19: Как часто за последний учебный год администрация посещала Ваши занятия и мероприятия (не открытые, т.е. которые Вы специально не готовили)?	17	83:Раз в неделю;84:Раз в месяц;85:Раз в полугодие;86:Ещё реже
45	Б20: Если Вам покажется, что коллега-педагог (преподаватель, воспитатель) проявил несправедливость по отношению к обучающемуся (воспитаннику), что Вы сделаете?	23	107:Утешите обучающегося (воспитанника);108:Обсудите ситуацию с этим коллегой;109:Обратитесь к администрации;110:Ничего, вдруг это мне просто показалось;111:Другое
46	Б21: Как часто коллеги-педагоги (преподаватели, воспитатели) за последний учебный год посещали Ваши занятия и мероприятия (не открытые, т.е. которые вы специально не готовили)?	17	83:Раз в неделю;84:Раз в месяц;85:Раз в полугодие;86:Ещё реже
47	Б22: Как часто за последний учебный год Вам приходилось бывать на занятиях и мероприятиях (не открытых, т.е. которые они специально не готовили) педагогов (преподавателей, воспитателей) Вашей образовательной организации?	17	83:Раз в неделю;84:Раз в месяц;85:Раз в полугодие;86:Ещё реже
48	Б23: Вы посещаете такие (не открытые, т.е. которые они специально не готовили) занятия и мероприятия чаще всего	24	112:Одиночное посещение по личной договорённости;113:Посещение совместно с членами администрации;114:Посещение совместно с группой педагогов (преподавателей, воспитателей);123:Другое
49	Б24: После посещения занятий  и мероприятий (открытых и неоткрытых)  в нашей образовательной организации  обычно	25	115:Занятие (мероприятие) обсуждается один на один с преподавателем;116:Занятие (мероприятие)   анализируется с администрацией;117:Организуется групповое обсуждение занятия (мероприятия) всеми присутствовавшими на нем;118:Ничего не происходит;119:Другое
50	Б25: Как Вам кажется, нравится ли педагогам (преподавателям, воспитателям) то, что Вы посещаете их занятия и мероприятия? 	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
51	Б26: Нравится ли Вам, когда Ваши занятия и мероприятия посещают коллеги? 	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
52	Б27: Насколько часто за последний учебный год встречались члены группы (команды), занимающейся вопросами преподавания и воспитания, планирования?	21	99:Несколько раз в неделю;100:Раз в неделю;101:Раз в месяц;102:Еще реже
53	Б28: Обсуждение вопросов в таких группах (командах) происходит, как правило	26	120:На перемене (в перерывах между занятиями);121:Для этого есть специальное время и место;122:Другое
54	Б29: Выразите ли Вы свое отношение к коллеге, который/ая опоздал/а на проводимое им/ей занятие или мероприятие?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
55	Б30: Спокойно ли Вам коллеги предоставляют свой кабинет (группу), оборудование для проведения урока (занятия или мероприятия)?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
56	Б31: Вы считаете, что полностью реализуете свой потенциал на работе?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
57	Б32: Вы считаете, что Вас ценят в коллективе по достоинству?	18	87:Да;88:Скорее да, чем нет;89:Скорее нет, чем да;90:Нет
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [1]	0	-
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [1][Id]	0	-
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [2]	0	-
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [2][Id]	0	-
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [3]	0	-
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [3][Id]	0	-
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [4]	0	-
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [4][Id]	0	-
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [5]	0	-
60	С1: Кто из коллег, по вашему мнению, являются лучшими педагогами (преподавателями, воспитателями) вашей образовательной организации? [5][Id]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [1]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [1][Id]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [2]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [2][Id]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [3]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [3][Id]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [4]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [4][Id]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [5]	0	-
61	С2: Если бы Вам предложили стать директором (заведующим) в другой образовательной организации, то кого из числа нынешних коллег Вы хотели бы видеть в своей административной команде? [5][Id]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [1]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [1][Id]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [2]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [2][Id]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [3]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [3][Id]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [4]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [4][Id]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [5]	0	-
62	С3: Кто из педагогов (преподавателей, воспитателей) Вашей образовательной организации в наибольшей степени нуждается в профессиональной помощи? [5][Id]	0	-
63	С4: Кого из коллег Вы хотели бы видеть в составе вновь организованной группы для решения какой-либо проблемы в области преподавания и воспитания? [1]	0	-
63	С4: Кого из коллег Вы хотели бы видеть в составе вновь организованной группы для решения какой-либо проблемы в области преподавания и воспитания? [1][Id]	0	-
63	С4: Кого из коллег Вы хотели бы видеть в составе вновь организованной группы для решения какой-либо проблемы в области преподавания и воспитания? [2]	0	-
63	С4: Кого из коллег Вы хотели бы видеть в составе вновь организованной группы для решения какой-либо проблемы в области преподавания и воспитания? [2][Id]	0	-
63	С4: Кого из коллег Вы хотели бы видеть в составе вновь организованной группы для решения какой-либо проблемы в области преподавания и воспитания? [3]	0	-
63	С4: Кого из коллег Вы хотели бы видеть в составе вновь организованной группы для решения какой-либо проблемы в области преподавания и воспитания? [3][Id]	0	-
63	С4: Кого из коллег Вы хотели бы видеть в составе вновь организованной группы для решения какой-либо проблемы в области преподавания и воспитания? [4]	0	-
63	С4: Кого из коллег Вы хотели бы видеть в составе вновь организованной группы для решения какой-либо проблемы в области преподавания и воспитания? [4][Id]	0	-
